tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Apartamento,Itaperi,58,2,1,1,330.0,140000.0
Apartamento,Messejana,1,1,0,0,232.0,110000.0
Apartamento,Praia do Futuro,38,2,1,1,10.0,243000.0
Apartamento,Parangaba,0,0,0,0,0.0,521000.0
Apartamento,Papicu,100,3,3,1,760.0,350000.0
Apartamento,Engenheiro Luciano Cavalcante,68,3,2,2,900.0,280000.0
Apartamento,Guararapes,143,3,3,3,1263.0,1290000.0
Apartamento,Guararapes,292,4,1,4,0.0,3200000.0
Apartamento,Aldeota,67,1,1,1,1250.0,715000.0
Apartamento,Meireles,124,3,3,2,1425.0,650000.0
Apartamento,Fátima,96,3,4,2,960.0,1150000.0
Apartamento,Guararapes,76,3,2,3,780.0,750000.0
Apartamento,Praia de Iracema,38,1,1,1,439.0,440000.0
Apartamento,Praia de Iracema,54,2,2,1,0.0,700000.0
Apartamento,Meireles,253,4,5,4,3000.0,2199900.0
Apartamento,Cocó,99,3,3,1,960.0,320000.0
Apartamento,Cocó,165,3,5,3,2150.0,1800000.0
Apartamento,Aldeota,136,3,5,2,1150.0,1300000.0
Apartamento,Meireles,73,3,2,2,890.0,680000.0
Apartamento,Guajerú,45,2,0,1,0.0,208990.0
Apartamento,Parque Iracema,71,2,2,2,650.0,550000.0
Apartamento,Fátima,144,3,4,3,1300.0,1695000.0
Apartamento,Passaré,75,3,2,2,492.0,270000.0
Apartamento,Edson Queiroz,54,2,2,1,358.0,648209.0
Apartamento,Damas,94,4,1,1,0.0,210000.0
Apartamento,Padre Andrade,6,2,1,1,0.0,130000.0
Apartamento,Engenheiro Luciano Cavalcante,111,4,4,2,800.0,1050000.0
Apartamento,Aldeota,1,1,0,1,0.0,406625.0
Apartamento,Dionisio Torres,121,3,4,3,950.0,750000.0
Apartamento,Meireles,40,1,1,1,300.0,569000.0
Apartamento,Cambeba,2,2,0,2,767.0,807000.0
Apartamento,São Gerardo,51,2,2,1,0.0,334000.0
Apartamento,Messejana,72,3,2,2,480.0,420000.0
Apartamento,Aldeota,127,3,4,2,1580.0,720000.0
Apartamento,Paupina,41,2,1,1,300.0,215000.0
Apartamento,Papicu,82,3,3,1,890.0,399000.0
Apartamento,Cajazeiras,52,2,2,1,0.0,210000.0
Apartamento,Papicu,69,3,3,1,650.0,530000.0
Apartamento,Salinas,121,2,0,0,0.0,252471.0
Apartamento,Praia do Futuro,49,2,2,1,400.0,340000.0
Apartamento,Varjota,89,3,3,2,0.0,1163371.0
Apartamento,Meireles,63,2,0,2,0.0,1450000.0
Apartamento,Meireles,518,4,5,5,3200.0,6500000.0
Apartamento,Cocó,96,2,3,2,950.0,950000.0
Apartamento,Passaré,58,3,1,2,320.0,350000.0
Apartamento,Cocó,263,4,1,2,1899.0,3100000.0
Apartamento,Cocó,73,3,2,2,700.0,520000.0
Apartamento,Aldeota,330,4,5,4,1800.0,1800000.0
