tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Casa,Aerolândia,130,4,3,1,0.0,389900.0
Casa,Cajazeiras,280,5,4,2,0.0,760000.0
Casa,Papicu,250,3,4,5,0.0,690000.0
Casa,Jardim Cearense,80,2,0,3,250.0,220000.0
Casa,Engenheiro Luciano Cavalcante,151,3,4,4,1850.0,699990.0
Casa,Engenheiro Luciano Cavalcante,130,4,3,2,0.0,590000.0
Casa,Patriolino Ribeiro,700,4,6,12,1500.0,2640000.0
Casa,Cambeba,226,4,4,3,140.0,850000.0
Casa,Amadeu Furtado,907,4,3,10,0.0,2150000.0
Casa,Cidade dos Funcionários,117,2,3,2,0.0,390000.0
Casa,Prefeito José Walter,200,5,3,1,0.0,270000.0
Casa,Passaré,120,3,3,2,50.0,480000.0
Casa,Parquelândia,290,7,5,3,0.0,580000.0
Casa,Joaquim Távora,630,4,2,10,0.0,2250000.0
Casa,Parque Manibura,192,4,5,4,0.0,660000.0
Casa,Engenheiro Luciano Cavalcante,128,2,2,2,0.0,320000.0
Casa,Papicu,149,3,3,3,85.0,470000.0
Casa,Parquelândia,250,4,5,8,0.0,1500000.0
Casa,Centro,960,9,9,4,0.0,2350000.0
Casa,Edson Queiroz,500,4,0,0,0.0,1250000.0
Casa,Lagoa Redonda,98,3,3,4,0.0,449000.0
Casa,Engenheiro Luciano Cavalcante,231,4,6,14,267.0,1050000.0
Casa,Montese,256,4,3,4,0.0,390000.0
Casa,Lagoa Redonda,560,3,3,6,0.0,2350000.0
Casa,Parque Santa Rosa,100,3,3,3,0.0,299000.0
Casa,Praia do Futuro,419,8,6,3,778.0,1200000.0
Casa,Planalto Ayrton Senna,2,2,0,0,0.0,250000.0
Casa,Henrique Jorge,400,3,1,2,0.0,650000.0
Casa,Planalto Ayrton Senna,203,0,0,0,0.0,179800.0
Casa,Eusébio,174,3,4,2,1250.0,1140000.0
Casa,Eusébio,660,5,6,5,0.0,11900000.0
Casa,Messejana,472,1,2,8,0.0,900000.0
Casa,Edson Queiroz,410,5,7,8,0.0,980000.0
Casa,Siqueira,180,3,2,3,0.0,250000.0
Casa,São Bento,118,3,3,2,0.0,405000.0
Casa,Parque Dois Irmãos,150,3,1,1,0.0,250000.0
Casa,Cidade dos Funcionários,350,9,7,6,0.0,820000.0
Casa,Edson Queiroz,241,4,4,3,0.0,690000.0
Casa,Dionisio Torres,420,6,4,4,458.0,1800000.0
Casa,Jangurussu,116,3,4,3,0.0,435000.0
Casa,Parangaba,297,3,0,4,0.0,590000.0
Casa,Tauape,77,3,1,1,0.0,390000.0
Casa,Rodolfo Teófilo,231,3,4,3,1.0,1100000.0
Casa,Damas,140,3,0,2,0.0,280000.0
Casa,Edson Queiroz,162,4,4,3,0.0,715000.0
Casa,Itaperi,864,6,7,16,305.0,980000.0
Casa,Dunas,1,5,5,4,0.0,6000000.0
Casa,Novo Mondubim,96,2,1,1,0.0,180000.0
Casa,Cidade dos Funcionários,287,5,7,4,0.0,950000.0
Casa,Engenheiro Luciano Cavalcante,114,4,3,3,1800.0,429000.0
Casa,Rodolfo Teófilo,350,3,3,5,0.0,900000.0
Casa,Parque Manibura,374,4,5,6,2070.0,980000.0
Casa,Cidade 2000,180,2,0,1,40.0,450000.0
Casa,Dionisio Torres,122,3,3,1,0.0,680000.0
Casa,Sapiranga,278,3,4,2,1900.0,1300000.0
Casa,Cidade dos Funcionários,226,3,3,4,0.0,780000.0
Casa,Vicente Pinzon,194,4,4,6,1100.0,750000.0
Casa,Cidade dos Funcionários,180,6,4,2,169.0,4200.0
Casa,Parque Araxá,180,4,3,5,0.0,650000.0
Casa,Cajazeiras,208,4,5,3,0.0,720000.0
Casa,Engenheiro Luciano Cavalcante,200,4,5,3,0.0,790000.0
Casa,Mondubim,105,3,2,2,0.0,329000.0
Casa,Meireles,350,3,2,4,0.0,2177500.0
Casa,Parque Manibura,255,4,5,4,150.0,880000.0
Casa,Parquelândia,479,4,5,6,0.0,990000.0
Casa,Jangurussu,116,3,3,3,0.0,435000.0
Casa,Jangurussu,78,3,1,2,0.0,199000.0
Casa,Padre Andrade,620,6,3,4,0.0,680000.0
Casa,Vila Velha,200,2,1,1,0.0,370000.0
Casa,Jardim Cearense,160,4,2,3,0.0,780000.0
Casa,Sabiaguaba,237,3,4,3,1735.0,1400000.0
Casa,Jardim das Oliveiras,135,3,3,4,0.0,480000.0
Casa,Manoel Dias Branco,183,3,3,10,0.0,550000.0
Casa,Dionisio Torres,280,4,4,6,270.0,1250000.0
Casa,Fátima,308,3,4,4,1417.0,470000.0
Casa,São Bento,715,3,4,4,166.0,900000.0
Casa,São Bento,116,3,3,3,0.0,430000.0
Casa,Mucuripe,164,3,3,3,200.0,1515000.0
Casa,Parangaba,578,5,6,4,0.0,999000.0
Casa,Dunas,230,3,5,3,227.0,870000.0
Casa,Sapiranga,308,4,5,10,0.0,1680000.0
Casa,Lagoa Redonda,110,3,3,2,0.0,470000.0
Casa,Sapiranga,293,5,6,6,0.0,1480000.0
Casa,Sapiranga,175,3,3,2,0.0,550000.0
Casa,Parreão,396,4,5,6,0.0,595000.0
Casa,Dionisio Torres,173,3,3,2,0.0,830000.0
Casa,São João do Tauape,240,5,4,5,2000.0,1200000.0
Casa,Passaré,140,3,3,4,0.0,465000.0
Casa,Cidade dos Funcionários,149,4,4,3,0.0,879000.0
Casa,Lagoa Redonda,150,2,0,1,0.0,270000.0
Casa,Dunas,185,3,5,2,1087.0,1644000.0
Casa,de Lourdes,600,7,8,5,0.0,2490000.0
Casa,São Bento,200,3,0,3,1584.0,695000.0
Casa,Jardim das Oliveiras,152,4,4,4,0.0,780000.0
Casa,Jardim das Oliveiras,158,4,6,3,1300.0,650000.0
Casa,São Bento,157,3,3,3,310.0,380000.0
Casa,Parque Manibura,249,5,4,4,0.0,940000.0
Casa,Lagoa Redonda,110,3,3,2,1200.0,470000.0
Casa,Jardim das Oliveiras,105,3,2,2,0.0,650000.0
Casa,Sapiranga,113,3,2,3,0.0,350000.0
Casa,Passaré,56,2,1,1,357.0,210000.0
Casa,Cidade dos Funcionários,113,3,3,3,0.0,540000.0
Casa,Meireles,120,3,0,3,1300.0,900000.0
Casa,Vila Velha,80,3,1,4,0.0,290000.0
Casa,Dionisio Torres,280,4,5,5,0.0,1250000.0
Casa,Cajazeiras,100,2,2,2,0.0,310000.0
Casa,Bom Futuro,419,3,0,3,100.0,1000000.0
Casa,Jóquei Clube,120,3,3,2,0.0,399000.0
Casa,Cidade dos Funcionários,125,3,4,8,0.0,770000.0
Casa,de Lourdes,775,5,5,6,300.0,2300000.0
Casa,São Bento,108,3,3,2,0.0,430000.0
Casa,Parquelândia,231,7,6,2,300.0,850000.0
Casa,Itaperi,90,3,2,2,585.0,395000.0
Casa,Prefeito José Walter,150,4,2,2,0.0,215000.0
Casa,Conjunto Esperança,85,2,2,1,777.0,280000.0
Casa,Dionisio Torres,300,4,5,3,0.0,750000.0
Casa,Antônio Bezerra,202,3,1,1,0.0,290000.0
Casa,Presidente Kennedy,150,3,0,2,0.0,415000.0
Casa,Fátima,385,6,3,5,0.0,790000.0
Casa,Engenheiro Luciano Cavalcante,2,8,8,4,0.0,980000.0
Casa,Cidade dos Funcionários,652,7,6,6,0.0,1999000.0
Casa,São João do Tauape,588,4,6,4,2555.0,2500000.0
Casa,Edson Queiroz,140,3,0,0,0.0,600000.0
Casa,Parquelândia,110,2,0,2,0.0,270000.0
Casa,Papicu,225,2,2,1,0.0,520000.0
Casa,Sapiranga,141,3,4,4,0.0,850000.0
Casa,Prefeito José Walter,200,3,1,1,70.0,300000.0
Casa,Barroso,76,3,3,2,350.0,299000.0
Casa,Monte Castelo,224,4,4,4,0.0,649000.0
Casa,Sapiranga,174,3,3,4,0.0,500000.0
Casa,Fátima,180,3,2,3,0.0,500000.0
Casa,José de Alencar,4,4,0,5,1250.0,1490000.0
Casa,Montese,200,4,3,3,0.0,400000.0
Casa,São Bento,200,3,3,3,1026.0,450000.0
Casa,Dunas,250,4,4,2,1200.0,850000.0
Casa,Cidade dos Funcionários,156,3,4,2,0.0,730000.0
Casa,de Lourdes,500,5,8,8,0.0,2400000.0
Casa,Edson Queiroz,175,3,4,6,250.0,650000.0
