tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Condomínio,Edson Queiroz,137,3,4,2,980.0,550000.0
Condomínio,Sapiranga,180,3,3,4,780.0,750000.0
Condomínio,Engenheiro Luciano Cavalcante,194,3,1,2,1200.0,1200000.0
Condomínio,Edson Queiroz,150,3,4,3,980.0,490000.0
Condomínio,Passaré,70,2,2,1,290.0,298000.0
Condomínio,Sapiranga,170,5,4,4,900.0,530000.0
Condomínio,Cajazeiras,212,4,5,4,800.0,950000.0
Condomínio,Passaré,160,3,4,1,200.0,450000.0
Condomínio,Sapiranga,122,3,3,2,700.0,770000.0
Condomínio,Maraponga,233,4,4,2,650.0,2000000.0
Condomínio,Lagoa Redonda,85,3,2,2,570.0,330000.0
Condomínio,Passaré,60,2,2,1,260.0,240000.0
Condomínio,de Lourdes,288,5,7,4,2300.0,2700000.0
Condomínio,Parque Manibura,170,3,4,3,800.0,620000.0
Condomínio,Engenheiro Luciano Cavalcante,201,4,5,4,300.0,990000.0
Condomínio,Passaré,140,3,3,3,700.0,440000.0
Condomínio,Sapiranga,134,2,0,0,600.0,519000.0
Condomínio,Parque Manibura,354,3,2,3,100.0,600000.0
Condomínio,de Lourdes,334,4,6,4,2080.0,2890000.0
Condomínio,Manoel Dias Branco,98,3,2,2,700.0,379000.0
Condomínio,José de Alencar,205,4,4,2,1100.0,1050000.0
Condomínio,Passaré,72,3,2,2,500.0,295000.0
Condomínio,Lagoa Sapiranga (Coité),244,4,6,4,2071.0,1490000.0
Condomínio,Praia do Futuro,185,4,0,5,1181.0,1417504.0
Condomínio,Edson Queiroz,247,5,3,4,1400.0,780000.0
Condomínio,Lagoa Redonda,186,4,5,3,1300.0,995000.0
Condomínio,Edson Queiroz,180,4,5,4,1100.0,530000.0
Condomínio,Lagoa Redonda,96,3,4,2,500.0,375000.0
Condomínio,José de Alencar,110,3,3,2,0.0,782000.0
Condomínio,Engenheiro Luciano Cavalcante,144,4,5,3,1050.0,700000.0
Condomínio,Edson Queiroz,180,4,5,4,604.0,480000.0
Condomínio,Passaré,98,3,3,2,650.0,495000.0
Condomínio,Praia de Iracema,150,2,3,1,0.0,580000.0
Condomínio,Maraponga,173,3,3,3,354.0,1300000.0
Condomínio,Guajerú,62,2,1,2,190.0,350000.0
Condomínio,Sapiranga,150,4,0,0,300.0,450000.0
Condomínio,Alphaville Fortaleza,550,5,7,10,1250.0,7500000.0
Condomínio,Parque Manibura,303,3,0,5,2000.0,700000.0
Condomínio,Mondubim,80,3,2,2,300.0,250000.0
Condomínio,Sapiranga,134,4,4,2,600.0,520000.0
Condomínio,Edson Queiroz,280,4,3,5,2300.0,1500000.0
Condomínio,Sapiranga,2,2,0,0,600.0,520000.0
Condomínio,Lagoa Redonda,96,3,3,2,600.0,360000.0
Condomínio,Maraponga,101,0,0,0,0.0,542000.0
Condomínio,Jardim das Oliveiras,202,4,5,2,0.0,820000.0
Condomínio,Passaré,80,2,2,4,165.0,290000.0
Condomínio,Sabiaguaba,190,4,4,3,1050.0,998000.0
