tipo,bairro,area,quartos,banheiros,vagas,condominio,preco
Apartamento,Vicente Pinzon,75,3,2,1,0.0,420000.0
Apartamento,Aldeota,98,4,3,2,875.0,940000.0
Apartamento,Meireles,66,2,2,1,0.0,1990000.0
Apartamento,Engenheiro Luciano Cavalcante,44,1,1,1,577.0,450000.0
Apartamento,Meireles,460,5,7,5,3100.0,2500000.0
Apartamento,Meireles,253,5,6,5,0.0,4194400.0
Apartamento,Mucuripe,333,4,5,4,3000.0,3200000.0
Apartamento,Passaré,63,3,2,2,436.0,420000.0
Apartamento,de Lourdes,126,3,5,2,1236.0,720000.0
Apartamento,Meireles,310,4,6,5,4100.0,3500000.0
Apartamento,Meireles,225,3,5,4,2500.0,2800000.0
Apartamento,Fátima,130,3,5,3,1501.0,1450000.0
Apartamento,Meireles,82,2,2,2,930.0,1970000.0
Cobertura,Dionisio Torres,458,4,5,3,2600.0,2100000.0
Apartamento,Aldeota,106,2,4,2,1438.0,1145000.0
Apartamento,Meireles,227,3,5,2,2000.0,1199000.0
Apartamento,Patriolino Ribeiro,169,3,4,3,1650.0,860000.0
Apartamento,Cocó,138,4,4,3,1360.0,859000.0
Apartamento,Meireles,354,5,6,4,2500.0,3700000.0
Apartamento,Meireles,128,3,4,3,1442.0,1090000.0
Apartamento,Meireles,189,3,4,3,2800.0,1600000.0
Apartamento,Aldeota,212,4,5,2,1480.0,700000.0
Apartamento,Meireles,305,4,5,4,3300.0,1999000.0
Apartamento,Cocó,131,3,5,3,0.0,1490000.0
Apartamento,de Lourdes,88,2,3,2,740.0,900000.0
Apartamento,Presidente Kennedy,87,3,3,4,3165.0,750000.0
Apartamento,Salinas,109,3,3,2,850.0,1050000.0
Apartamento,Meireles,243,3,4,2,2934.0,1300000.0
Apartamento,Engenheiro Luciano Cavalcante,118,3,3,2,950.0,1180000.0
Apartamento,Cocó,80,3,3,2,1287.0,850000.0
Apartamento,Meireles,325,4,6,5,7500.0,4700000.0
Casa,Itaperi,285,3,3,4,0.0,450000.0
Condomínio,Sabiaguaba,148,4,5,3,1050.0,799000.0
Apartamento,Parquelândia,109,3,3,2,1100.0,460000.0
Casa,Engenheiro Luciano Cavalcante,526,6,4,6,0.0,1600000.0
Condomínio,José de Alencar,241,4,5,4,1800.0,1190000.0
Apartamento,Papicu,182,3,2,2,2532.0,870000.0
Apartamento,Benfica,68,3,2,2,737.0,690000.0
Apartamento,Meireles,65,2,1,0,0.0,910000.0
Apartamento,Meireles,235,3,3,3,2535.0,2450000.0
Apartamento,Farias Brito,80,3,2,1,710.0,280000.0
Condomínio,Cidade dos Funcionários,175,3,4,2,1300.0,1200000.0
Apartamento,Presidente Kennedy,73,3,2,2,450.0,630000.0
Apartamento,Aldeota,210,3,3,4,3165.0,3090000.0
Salas,Aldeota,61,1,0,0,1230.0,560000.0
Condomínio,de Lourdes,343,4,5,4,2300.0,3700000.0
Condomínio,de Lourdes,4000,4,6,4,2300.0,2990000.0
Apartamento,Lagoa Redonda,68,3,2,1,50.0,239900.0
Apartamento,Presidente Kennedy,103,3,3,3,754.0,520000.0
Apartamento,Cocó,97,3,4,2,876.0,510000.0
Apartamento,Meireles,378,4,5,2,2300.0,1398000.0
Apartamento,Dionisio Torres,97,4,4,2,1200.0,750000.0
Apartamento,Cocó,143,3,3,2,1550.0,450000.0
Apartamento,Aldeota,105,3,3,2,1450.0,450000.0
Apartamento,Praia de Iracema,146,4,5,2,1400.0,1300000.0
Apartamento,Engenheiro Luciano Cavalcante,72,2,2,2,680.0,685000.0
Apartamento,Aldeota,132,3,3,1,810.0,490000.0
Apartamento,Meireles,275,4,6,4,2500.0,2300000.0
Apartamento,Cocó,141,3,5,3,1330.0,800000.0
Apartamento,Patriolino Ribeiro,182,3,4,4,1666.0,1790000.0
Apartamento,Aldeota,130,3,4,2,1020.0,720000.0
Apartamento,Presidente Kennedy,55,2,1,1,0.0,460000.0
Apartamento,Farias Brito,115,4,3,1,800.0,300000.0
Apartamento,Parque Iracema,110,3,4,2,1057.0,1155000.0
Apartamento,Dionisio Torres,169,4,5,3,1450.0,800000.0
Apartamento,Presidente Kennedy,55,2,2,2,465.0,540000.0
Apartamento,Aldeota,304,4,6,4,3650.0,1600000.0
Apartamento,Fátima,88,3,3,2,957.0,440000.0
Apartamento,Engenheiro Luciano Cavalcante,123,3,3,3,700.0,1439000.0
Apartamento,Meireles,164,3,4,2,1313.0,1500000.0
Apartamento,Engenheiro Luciano Cavalcante,146,3,4,3,1175.0,1619900.0
Apartamento,Aldeota,106,4,5,4,1180.0,1050000.0
Apartamento,Fátima,130,3,5,4,1600.0,1400000.0
Apartamento,Manoel Dias Branco,163,4,1,3,850.0,1871000.0
Apartamento,Mucuripe,93,3,3,2,710.0,550000.0
Apartamento,Cocó,210,3,4,4,1960.0,2000000.0
Triplex,Meireles,128,4,4,2,1500.0,980000.0
Apartamento,Meireles,438,4,5,5,4250.0,4420000.0
Apartamento,Meireles,219,4,6,4,2900.0,1199000.0
Apartamento,Aldeota,311,4,5,5,2477.0,4440000.0
Apartamento,Meireles,415,5,7,7,4200.0,5500000.0
Apartamento,Vicente Pinzon,200,4,5,3,2235.0,1300000.0
Apartamento,Meireles,261,3,5,3,1950.0,1890000.0
Apartamento,Meireles,199,3,5,2,1799.0,820000.0
Apartamento,Patriolino Ribeiro,212,3,5,4,1670.0,1300000.0
Apartamento,Meireles,166,4,4,2,1050.0,690000.0
Apartamento,Centro,106,3,3,1,800.0,270000.0
Apartamento,Patriolino Ribeiro,182,3,4,4,1666.0,1790000.0
Apartamento,Cocó,134,3,3,2,1200.0,700000.0
Apartamento,Cocó,220,4,1,4,1500.0,4400000.0
Apartamento,Meireles,401,4,6,5,3830.0,5900000.0
Apartamento,Engenheiro Luciano Cavalcante,82,3,3,2,712.0,750000.0
Apartamento,Patriolino Ribeiro,212,3,5,4,1670.0,1300000.0
Apartamento,Passaré,47,2,2,1,350.0,350000.0
Apartamento,Meireles,150,3,5,2,1650.0,850000.0
Apartamento,Praia do Futuro ||,35,1,1,1,640.0,375000.0
Apartamento,Aldeota,150,3,4,2,1400.0,799000.0
Apartamento,Cocó,134,3,4,2,1200.0,500000.0
Apartamento,Meireles,174,4,5,2,1890.0,1100000.0
Apartamento,Aldeota,195,3,5,3,1839.0,950000.0
Apartamento,Cambeba,83,3,2,2,750.0,485000.0
Apartamento,Fátima,130,3,5,4,1600.0,1400000.0
Apartamento,Cambeba,62,3,2,1,382.0,410000.0
Apartamento,Centro,106,3,3,1,800.0,260000.0
Apartamento,Centro,106,3,3,1,800.0,270000.0
Hotel,Praia do Futuro ||,800,16,18,14,0.0,2200000.0
Apartamento,Engenheiro Luciano Cavalcante,146,3,4,3,1175.0,1619900.0
Apartamento,Meireles,164,3,4,2,1313.0,1500000.0
Apartamento,Mucuripe,602,4,5,8,0.0,15900000.0
Apartamento,Fátima,71,2,2,1,650.0,530000.0
Apartamento,Mucuripe,208,3,5,3,2400.0,2899900.0
Apartamento,Aldeota,111,3,3,1,1000.0,240000.0
Apartamento,Meireles,182,3,5,4,3000.0,850000.0
Apartamento,Vicente Pinzon,200,4,5,3,2235.0,1300000.0
Apartamento,Dionisio Torres,118,4,4,2,1025.0,1180000.0
Apartamento,Centro,106,3,3,1,800.0,270000.0
Apartamento,Patriolino Ribeiro,182,3,4,4,1666.0,1790000.0
Cobertura,Aldeota,342,4,6,3,3000.0,800000.0
Apartamento,Cocó,134,3,3,2,1200.0,700000.0
Hotel,Praia do Futuro ||,800,16,18,14,0.0,2200000.0
Apartamento,Cocó,220,4,1,4,1500.0,4400000.0
Apartamento,Meireles,401,4,6,5,3830.0,5900000.0
Apartamento,Engenheiro Luciano Cavalcante,82,3,3,2,712.0,750000.0
Apartamento,Meireles,136,3,5,3,1077.0,800000.0
Apartamento,Dionisio Torres,152,3,4,3,1455.0,1100000.0
Apartamento,Mucuripe,137,4,4,2,1026.0,550000.0
Apartamento,Engenheiro Luciano Cavalcante,74,3,3,2,780.0,740000.0
Apartamento,Parque Iracema,57,2,2,1,587.0,642000.0
Apartamento,Meireles,806,5,6,5,4500.0,3800000.0
Apartamento,Aldeota,172,3,3,2,2463.0,700000.0
Apartamento,Meireles,80,2,3,1,1128.0,570000.0
Apartamento,Aldeota,117,3,4,3,1692.0,1365000.0
Apartamento,Meireles,198,4,5,3,2100.0,1350000.0
Apartamento,Meireles,213,4,5,2,2000.0,1100000.0
Casa,São João do Tauape,354,4,3,4,0.0,480000.0
Duplex,Meireles,426,5,7,5,3500.0,4500000.0
Casa,Vicente Pinzon,396,4,4,0,0.0,890000.0
Casa,Sapiranga,334,6,6,4,1900.0,700000.0
Casa,Jardim Iracema,68,4,4,2,0.0,350000.0
Casa,Cocó,528,4,6,5,0.0,1782000.0
Casa,Edson Queiroz,360,4,4,3,0.0,790000.0
Apartamento,Patriolino Ribeiro,152,4,5,4,1300.0,1500000.0
Casa,Parque Manibura,520,6,7,10,0.0,1400000.0
Apartamento,Dionisio Torres,114,3,4,3,1374.0,720000.0
Casa,Dionisio Torres,363,4,4,5,0.0,950000.0
Casa,Parque Araxá,435,7,3,5,0.0,1050000.0
Apartamento,Manoel Dias Branco,145,3,4,3,1264.0,1450000.0
Apartamento,Centro,100,3,1,2,878.0,810000.0
Casa,Aldeota,127,3,5,1,0.0,950000.0
Apartamento,Cocó,113,3,4,3,1000.0,620000.0
Apartamento,Dionisio Torres,118,3,4,3,1100.0,950000.0
Apartamento,Cocó,136,3,3,1,832.0,450000.0
Apartamento,Montese,86,3,2,2,554.0,260000.0
Duplex,Sapiranga,164,4,5,5,0.0,600000.0
Casa,Centro,776,10,10,4,0.0,2800000.0
Casa,Lagoa Redonda,145,2,3,2,0.0,325000.0
Condomínio,Edson Queiroz,202,5,6,4,1800.0,1100000.0
Casa,Engenheiro Luciano Cavalcante,881,5,5,8,0.0,4500000.0
Apartamento,Meireles,339,4,6,6,3260.0,4200000.0
Casa,Dionisio Torres,620,6,4,4,0.0,1800000.0
Apartamento,Meireles,122,2,2,1,580.0,648000.0
Apartamento,Engenheiro Luciano Cavalcante,292,4,5,4,1950.0,2600000.0
Casa,José de Alencar,340,4,4,4,0.0,640000.0
Casa,Parquelândia,523,5,6,6,0.0,3000000.0
Apartamento,Dunas,163,4,1,3,1410.0,1871000.0
Condomínio,Edson Queiroz,2523,3,4,2,1300.0,497000.0
Prédio inteiro,Benfica,750,6,12,0,170.0,3000000.0
Condomínio,Lagoa Redonda,192,3,4,2,1290.0,898000.0
Casa,João Xxiii,572,1,1,0,0.0,1100000.0
Apartamento,Damas,69,3,3,1,430.0,239000.0
Apartamento,Dionisio Torres,160,3,5,3,1500.0,800000.0
Casa,Engenheiro Luciano Cavalcante,396,3,6,4,0.0,850000.0
Apartamento,Aldeota,150,3,3,3,1585.0,1195000.0
Condomínio,José de Alencar,277,1,4,3,1900.0,1300000.0
Apartamento,Patriolino Ribeiro,146,3,4,3,1203.0,1650000.0
Casa,José de Alencar,864,4,3,6,0.0,999000.0
Apartamento,Meireles,197,4,5,4,2500.0,1600000.0
Casa,Montese,396,3,4,0,0.0,550000.0
Apartamento,Parque Dois Irmãos,59,3,2,1,450.0,325000.0
Casa,Vicente Pinzon,396,4,4,2,0.0,515000.0
Apartamento,José Bonifácio,90,3,3,2,780.0,890000.0
Prédio inteiro,Centro,550,11,0,0,0.0,3200000.0
Casa,Messejana,480,4,7,5,0.0,1200000.0
Condomínio,Sapiranga,259,4,3,2,900.0,590000.0
Apartamento,Patriolino Ribeiro,146,3,4,3,1202.0,1500000.0
Casa,Sapiranga,162,2,3,2,0.0,550000.0
Apartamento,Meireles,56,2,2,1,512.0,715000.0
Apartamento,Meireles,213,4,4,2,2000.0,1000000.0
Casa,Passaré,150,4,4,2,0.0,420000.0
Apartamento,Patriolino Ribeiro,243,4,5,4,3200.0,1200000.0
Casa,Joaquim Távora,454,15,16,2,0.0,1078000.0
Sobrado,Sapiranga,375,5,5,5,0.0,700000.0
Apartamento,Meireles,213,3,4,4,2600.0,1299000.0
Apartamento,Meireles,213,4,5,4,2100.0,1100000.0
Casa,Cidade dos Funcionários,180,4,4,3,0.0,580000.0
Apartamento,Mucuripe,128,3,4,2,1050.0,430000.0
Casa,Conjunto Ceará I,242,8,5,2,0.0,550000.0
Casa,Edson Queiroz,150,4,2,2,0.0,390000.0
Apartamento,Dionisio Torres,50,2,2,1,0.0,640000.0
Prédio inteiro,Presidente Kennedy,3696,18,12,0,0.0,3636000.0
Apartamento,Aldeota,201,4,6,3,2140.0,1699000.0
Apartamento,Meireles,179,4,5,2,1850.0,950000.0
Apartamento,Aldeota,184,3,4,3,1826.0,999900.0
Apartamento,Passaré,54,3,2,2,397.0,320000.0
Apartamento,Aldeota,176,4,5,2,1850.0,890000.0
Casa,Engenheiro Luciano Cavalcante,1749,3,6,10,0.0,2500000.0
Prédio inteiro,Dionisio Torres,324,2,0,0,0.0,2000000.0
Casa,Centro,130,4,3,1,0.0,428000.0
Apartamento,Aldeota,123,3,3,2,1100.0,580000.0
Casa,José de Alencar,121,3,2,4,0.0,600000.0
Casa,Aldeota,366,4,4,6,0.0,1150000.0
Apartamento,Manoel Dias Branco,116,4,3,2,820.0,1280000.0
Apartamento,Dionisio Torres,250,4,6,2,2500.0,830000.0
Condomínio,Parque Iracema,108,5,5,4,0.0,550000.0
Apartamento,Meireles,57,2,1,1,800.0,865000.0
Apartamento,Dionisio Torres,119,3,1,2,0.0,1800000.0
Apartamento,Parquelândia,79,3,2,2,400.0,750000.0
Duplex,Meireles,81,2,3,1,1228.0,540000.0
Salas,Joaquim Távora,25,1,0,0,358.0,110000.0
Condomínio,de Lourdes,348,4,6,4,2080.0,2890000.0
Apartamento,Praia do Futuro Ii,125,3,3,1,650.0,280000.0
Apartamento,Aldeota,123,3,3,2,0.0,630000.0
Apartamento,Boa Vista,46,2,2,1,370.0,199000.0
Apartamento,Cocó,85,3,2,1,680.0,240000.0
Apartamento,Cocó,125,3,4,2,1400.0,440000.0
Apartamento,Cocó,344,5,4,5,4667.0,5500000.0
Casa,Manoel Dias Branco,477,3,3,4,0.0,870000.0
Apartamento,Aldeota,37,1,1,1,0.0,470000.0
Apartamento,Presidente Kennedy,53,2,2,1,400.0,440000.0
Casa,Messejana,228,3,2,2,0.0,330000.0
Casa,Fátima,579,4,3,6,0.0,1350000.0
Casa,Aldeota,295,9,7,2,0.0,3200000.0
Apartamento,Fátima,105,3,3,2,1000.0,599900.0
Prédio inteiro,Centro,467,7,2,0,0.0,1200000.0
Condomínio,Engenheiro Luciano Cavalcante,126,5,4,3,850.0,520000.0
Casa,Joaquim Távora,253,4,3,4,0.0,620000.0
Apartamento,Meireles,159,3,3,2,2700.0,800000.0
